instancia,autoria,algoritmo,q_medio,q_desvio,t_medio
Djibouti,Sebastien,BLPM2opt,7562,664,2
Qatar,Sebastien,BLPM2opt,110356,456,11
Uruguay,Sebastien,BLPM2opt,99991,1292,2
Western Sahara,Sebastien,BLPM2opt,34427,984,44
Zimbabwe,Sebastien,BLPM2opt,118661,3497,56
